GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),CHILDCAUSE (CODE),CHILDCAUSE (DISPLAY),CHILDCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE1-4,1-4 years,,MLE,Male,,,,,,,,596.515615,596.51562,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE35-39,35-39 years,,MLE,Male,,,,,,,,1787.364202,1787.36420,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE45-49,45-49 years,,MLE,Male,,,,,,,,3080.640506,3080.64051,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE70-74,70-74 years,,MLE,Male,,,,,,,,11814.66252,11814.66252,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE80-84,80-84 years,,MLE,Male,,,,,,,,12644.98038,12644.98038,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE20-24,20-24 years,,MLE,Male,,,,,,,,961.2175981,961.21760,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE30-34,30-34 years,,MLE,Male,,,,,,,,1369.956813,1369.95681,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE65-69,65-69 years,,MLE,Male,,,,,,,,8778.92449,8778.92449,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE75-79,75-79 years,,MLE,Male,,,,,,,,11730.24451,11730.24451,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE5-9,5-9 years,,FMLE,Female,,,,,,,,247.3153391,247.31534,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE15-19,15-19  years,,FMLE,Female,,,,,,,,238.4075084,238.40751,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE50-54,50-54 years,,FMLE,Female,,,,,,,,2059.468517,2059.46852,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE60-64,60-64 years,,FMLE,Female,,,,,,,,4116.611869,4116.61187,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE1-4,1-4 years,,FMLE,Female,,,,,,,,612.7993358,612.79934,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE10-14,10-14 years,,FMLE,Female,,,,,,,,151.1991177,151.19912,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE35-39,35-39 years,,FMLE,Female,,,,,,,,1166.344716,1166.34472,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE45-49,45-49 years,,FMLE,Female,,,,,,,,1702.262654,1702.26265,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE80-84,80-84 years,,FMLE,Female,,,,,,,,15245.72016,15245.72016,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGELT1,<1 year,,FMLE,Female,,,,,,,,2561.87869,2561.87869,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE30-34,30-34 years,,FMLE,Female,,,,,,,,722.806807,722.80681,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE40-44,40-44 years,,FMLE,Female,,,,,,,,1179.636859,1179.63686,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE65-69,65-69 years,,FMLE,Female,,,,,,,,5289.098793,5289.09879,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE75-79,75-79 years,,FMLE,Female,,,,,,,,9806.723093,9806.72309,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE15-19,15-19  years,,FMLE,Female,,,,,,,,244.2900529,244.29005,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE25-29,25-29 years,,FMLE,Female,,,,,,,,564.041606,564.04161,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE60-64,60-64 years,,FMLE,Female,,,,,,,,5022.555411,5022.55541,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE70-74,70-74 years,,FMLE,Female,,,,,,,,9232.425043,9232.42504,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE1-4,1-4 years,,FMLE,Female,,,,,,,,423.5370437,423.53704,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE10-14,10-14 years,,FMLE,Female,,,,,,,,112.5117386,112.51174,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE45-49,45-49 years,,FMLE,Female,,,,,,,,1596.658155,1596.65816,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE55-59,55-59 years,,FMLE,Female,,,,,,,,3096.283842,3096.28384,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGELT1,<1 year,,BTSX,Both sexes,,,,,,,,3368.131283,3368.13128,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE5-9,5-9 years,,BTSX,Both sexes,,,,,,,,266.5116084,266.51161,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE30-34,30-34 years,,BTSX,Both sexes,,,,,,,,1228.726803,1228.72680,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE40-44,40-44 years,,BTSX,Both sexes,,,,,,,,1757.659941,1757.65994,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE50-54,50-54 years,,BTSX,Both sexes,,,,,,,,2772.682885,2772.68289,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE75-79,75-79 years,,BTSX,Both sexes,,,,,,,,10024.91534,10024.91534,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE85PLUS,85+ years,,BTSX,Both sexes,,,,,,,,37739.03699,37739.03699,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE25-29,25-29 years,,BTSX,Both sexes,,,,,,,,946.7122965,946.71230,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE35-39,35-39 years,,BTSX,Both sexes,,,,,,,,1526.939618,1526.93962,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE60-64,60-64 years,,BTSX,Both sexes,,,,,,,,5575.906387,5575.90639,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE70-74,70-74 years,,BTSX,Both sexes,,,,,,,,10237.20811,10237.20811,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE80-84,80-84 years,,BTSX,Both sexes,,,,,,,,14200.27179,14200.27179,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE10-14,10-14 years,,BTSX,Both sexes,,,,,,,,172.2953551,172.29536,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE20-24,20-24 years,,BTSX,Both sexes,,,,,,,,653.073654,653.07365,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE55-59,55-59 years,,BTSX,Both sexes,,,,,,,,3505.061599,3505.06160,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE65-69,65-69 years,,BTSX,Both sexes,,,,,,,,6488.704434,6488.70443,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE5-9,5-9 years,,BTSX,Both sexes,,,,,,,,156.3558598,156.35586,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE15-19,15-19  years,,BTSX,Both sexes,,,,,,,,389.691427,389.69143,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE40-44,40-44 years,,BTSX,Both sexes,,,,,,,,1809.871821,1809.87182,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE50-54,50-54 years,,BTSX,Both sexes,,,,,,,,3550.7311,3550.73110,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE85PLUS,85+ years,,BTSX,Both sexes,,,,,,,,29756.4284,29756.42840,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE1-4,1-4 years,,BTSX,Both sexes,,,,,,,,469.6761284,469.67613,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE35-39,35-39 years,,BTSX,Both sexes,,,,,,,,1253.967881,1253.96788,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE45-49,45-49 years,,BTSX,Both sexes,,,,,,,,2220.419673,2220.41967,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE70-74,70-74 years,,BTSX,Both sexes,,,,,,,,10596.10427,10596.10427,,,,,
LIFE_0000000032,ndx - number of people dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/32,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE80-84,80-84 years,,BTSX,Both sexes,,,,,,,,14262.31038,14262.31038,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE20-24,20-24 years,,MLE,Male,,,,,,,,0.009064698,0.00906,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE30-34,30-34 years,,MLE,Male,,,,,,,,0.016601049,0.01660,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE65-69,65-69 years,,MLE,Male,,,,,,,,0.09665233,0.09665,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE75-79,75-79 years,,MLE,Male,,,,,,,,0.195627363,0.19563,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE5-9,5-9 years,,MLE,Male,,,,,,,,0.002493764,0.00249,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE15-19,15-19  years,,MLE,Male,,,,,,,,0.004793377,0.00479,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE50-54,50-54 years,,MLE,Male,,,,,,,,0.045153109,0.04515,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2005,2005,,AMR,Americas,,WB_UMI,2005,2005,Upper-middle-income,,DOM,Dominican Republic,,AGE60-64,60-64 years,,MLE,Male,,,,,,,,0.087808559,0.08781,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE1-4,1-4 years,,MLE,Male,,,,,,,,0.006829962,0.00683,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE10-14,10-14 years,,MLE,Male,,,,,,,,0.00212299,0.00212,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE35-39,35-39 years,,MLE,Male,,,,,,,,0.017940957,0.01794,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE45-49,45-49 years,,MLE,Male,,,,,,,,0.029825969,0.02983,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2010,2010,,AMR,Americas,,WB_UMI,2010,2010,Upper-middle-income,,DOM,Dominican Republic,,AGE80-84,80-84 years,,MLE,Male,,,,,,,,0.332420225,0.33242,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGELT1,<1 year,,MLE,Male,,,,,,,,0.028796072,0.02880,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE30-34,30-34 years,,MLE,Male,,,,,,,,0.015823031,0.01582,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE40-44,40-44 years,,MLE,Male,,,,,,,,0.025548836,0.02555,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE65-69,65-69 years,,MLE,Male,,,,,,,,0.130909469,0.13091,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2015,2015,,AMR,Americas,,WB_UMI,2015,2015,Upper-middle-income,,DOM,Dominican Republic,,AGE75-79,75-79 years,,MLE,Male,,,,,,,,0.246870127,0.24687,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE15-19,15-19  years,,MLE,Male,,,,,,,,0.005167385,0.00517,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE25-29,25-29 years,,MLE,Male,,,,,,,,0.011664436,0.01166,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE60-64,60-64 years,,MLE,Male,,,,,,,,0.100123397,0.10012,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2019,2019,,AMR,Americas,,WB_UMI,2019,2019,Upper-middle-income,,DOM,Dominican Republic,,AGE70-74,70-74 years,,MLE,Male,,,,,,,,0.194212293,0.19421,,,,,
LIFE_0000000030,nqx - probability of dying between ages x and x+n,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/30,PUBLISHED,Published,,2000,2000,,AMR,Americas,,WB_UMI,2000,2000,Upper-middle-income,,DOM,Dominican Republic,,AGE1-4,1-4 years,,FMLE,Female,,,,,,,,0.007385927,0.00739,,,,,
